titulo,tematica,categoria,fecha,publico,"foto",lugar,localidad,idProvincia,provincia,calle,link
Vitrina de donantes,Exposición,Exposiciones,18/05/2023,Todos los públicos,"https://datosabiertos.jcyl.es/web/jcyl/binarios/755/226/00,138.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Museo de Palencia,Palencia,34,Palencia,Plaza del Cordón,https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285279458250/Comunicacion
Unamuno y Filiberto Villalobos: amistad y compromiso. Conferencia,Conferencia,Conferencias y Cursos,12/01/2024,Adultos,"https://datosabiertos.jcyl.es/web/jcyl/binarios/611/395/200x200,27.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Salamanca,Salamanca,37,Salamanca,C/ Compañía,https://bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284353878191/Evento/1285348020892/Comunicacion
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,08/02/2024,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,14/03/2024,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,09/11/2023,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,14/12/2023,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,11/04/2024,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Tertulias LiJ,Foro o reunión,Conferencias y Cursos,11/01/2024,Otro colectivo destinatario,"https://datosabiertos.jcyl.es/web/jcyl/binarios/443/997/BZA%20RI%20AC%20Tertulias%20LIJ%20V.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de Zamora,Zamora,49,Zamora,Plaza Claudio Moyano,https://bibliotecas.jcyl.es/web/es/bibliotecazamora/actividades/tertulias.html
Te voy a comer a versos,Teatro títeres monólogo,Espectáculos,26/01/2024,Adultos,"https://datosabiertos.jcyl.es/web/jcyl/binarios/817/285/13-02-2024.-Biblioteca-de-Castilla-y-Leon.-Valladolid.-Zarabanda-Teatro.-Te-voy-a-comer-a-versos-RRSS-scaled%20-%20copia.jpg?blobheader=image%2Fjpeg&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca Pública de León,León,24,León,C/ Santa Nonia,https://bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284347467567/Evento/1284370659793/Comunicacion
Talleres: Saca partido a tu móvil,Taller,Otros,16/01/2024,Adultos,"https://datosabiertos.jcyl.es/web/jcyl/binarios/914/332/Talleres%20m%C3%B3vil.bmp?blobheader=application%2Foctet-stream&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca de Castilla y León,Valladolid,47,Valladolid,Plaza de la Trinidad,https://bibliotecas.jcyl.es/web/es/bibliotecacastillayleon/taller-saca-partido-movil.html
Talleres: Saca partido a tu móvil,Taller,Otros,30/01/2024,Adultos,"https://datosabiertos.jcyl.es/web/jcyl/binarios/914/332/Talleres%20m%C3%B3vil.bmp?blobheader=application%2Foctet-stream&amp,blobheadername1=Cache-Control&amp,blobheadername2=Expires&amp,blobheadername3=Site&amp,blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp,blobheadervalue2=0&amp,blobnocache=true",Biblioteca de Castilla y León,Valladolid,47,Valladolid,Plaza de la Trinidad,https://bibliotecas.jcyl.es/web/es/bibliotecacastillayleon/taller-saca-partido-movil.html
